'sample interval','ECG '
'0.00333333 sec','mV'
0,0.340
1,0.417
2,0.498
3,0.573
4,0.615
5,0.632
6,0.634
7,0.627
8,0.621
9,0.615
10,0.611
11,0.617
12,0.629
13,0.643
14,0.661
15,0.680
16,0.689
17,0.696
18,0.702
19,0.707
20,0.711
21,0.714
22,0.716
23,0.716
24,0.716
25,0.714
26,0.712
27,0.708
28,0.704
29,0.699
30,0.693
31,0.680
32,0.655
33,0.630
34,0.605
35,0.592
36,0.586
37,0.580
38,0.575
39,0.570
40,0.565
41,0.561
42,0.557
43,0.549
44,0.534
45,0.502
46,0.482
47,0.473
48,0.465
49,0.458
50,0.451
51,0.445
52,0.440
53,0.435
54,0.431
55,0.427
56,0.423
57,0.421
58,0.421
59,0.424
60,0.428
61,0.432
62,0.435
63,0.438
64,0.442
65,0.445
66,0.448
67,0.451
68,0.452
69,0.453
70,0.454
71,0.456
72,0.458
73,0.458
74,0.458
75,0.457
76,0.455
77,0.454
78,0.454
79,0.454
80,0.452
81,0.451
82,0.448
83,0.445
84,0.443
85,0.441
86,0.437
87,0.430
88,0.421
89,0.412
90,0.403
91,0.395
92,0.389
93,0.381
94,0.373
95,0.364
96,0.355
97,0.347
98,0.339
99,0.332
100,0.324
101,0.317
102,0.310
103,0.303
104,0.294
105,0.282
106,0.271
107,0.265
108,0.260
109,0.241
110,0.194
111,0.170
112,0.158
113,0.150
114,0.145
115,0.143
116,0.147
117,0.156
118,0.171
119,0.217
120,0.324
121,0.469
122,0.611
123,0.730
124,0.827
125,0.900
126,0.923
127,0.933
128,0.923
129,0.849
130,0.728
131,0.579
132,0.421
133,0.289
134,0.201
135,0.143
136,0.092
137,0.053
138,0.025
139,0.012
140,0.003
141,-0.003
142,-0.007
143,-0.009
144,-0.011
145,-0.013
146,-0.014
147,-0.016
148,-0.016
149,-0.017
150,-0.017
151,-0.019
152,-0.020
153,-0.022
154,-0.023
155,-0.025
156,-0.025
157,-0.024
158,-0.022
159,-0.020
160,-0.017
161,-0.014
162,-0.011
163,-0.006
164,-0.002
165,0.002
166,0.010
167,0.026
168,0.034
169,0.038
170,0.040
171,0.044
172,0.048
173,0.051
174,0.048
175,0.039
176,0.029
177,0.019
178,0.006
179,-0.002
180,-0.003
181,0.002
182,0.011
183,0.021
184,0.034
185,0.046
186,0.073
187,0.125
188,0.170
189,0.186
190,0.192
191,0.186
192,0.170
193,0.156
194,0.143
195,0.131
196,0.122
197,0.114
198,0.105
199,0.097
200,0.087
201,0.076
202,0.062
203,0.038
204,0.007
205,-0.020
206,-0.044
207,-0.054
208,-0.059
209,-0.062
210,-0.064
211,-0.066
212,-0.068
213,-0.067
214,-0.066
215,-0.063
216,-0.061
217,-0.057
218,-0.052
219,-0.047
220,-0.041
221,-0.033
222,-0.025
223,-0.026
224,-0.036
225,-0.053
226,-0.074
227,-0.099
228,-0.108
229,-0.115
230,-0.123
231,-0.127
232,-0.122
233,-0.110
234,-0.095
235,-0.079
236,-0.075
237,-0.072
238,-0.070
239,-0.068
240,-0.066
241,-0.064
242,-0.062
243,-0.060
244,-0.056
245,-0.053
246,-0.049
247,-0.046
248,-0.042
249,-0.036
250,-0.029
251,-0.024
252,-0.022
253,-0.023
254,-0.024
255,-0.025
256,-0.026
257,-0.029
258,-0.031
259,-0.030
260,-0.023
261,-0.014
262,-0.007
263,-0.001
264,0.002
265,0.007
266,0.011
267,0.014
268,0.017
269,0.019
270,0.020
271,0.021
272,0.025
273,0.030
274,0.028
275,0.009
276,-0.008
277,-0.026
278,-0.040
279,-0.051
280,-0.064
281,-0.079
282,-0.095
283,-0.112
284,-0.129
285,-0.150
286,-0.168
287,-0.183
288,-0.190
289,-0.183
290,-0.165
291,-0.117
292,-0.015
293,0.125
294,0.293
295,0.462
296,0.611
297,0.720
298,0.778
299,0.798
300,0.787
301,0.751
302,0.660
303,0.527
304,0.369
305,0.213
306,0.090
307,0.006
308,-0.058
309,-0.114
310,-0.144
311,-0.159
312,-0.166
313,-0.171
314,-0.175
315,-0.176
316,-0.176
317,-0.175
318,-0.173
319,-0.169
320,-0.165
321,-0.159
322,-0.150
323,-0.136
324,-0.127
325,-0.123
326,-0.120
327,-0.118
328,-0.115
329,-0.113
330,-0.111
331,-0.109
332,-0.108
333,-0.106
334,-0.104
335,-0.101
336,-0.099
337,-0.098
338,-0.095
339,-0.091
340,-0.086
341,-0.079
342,-0.071
343,-0.063
344,-0.055
345,-0.048
346,-0.042
347,-0.037
348,-0.033
349,-0.029
350,-0.026
351,-0.021
352,-0.015
353,-0.002
354,0.022
355,0.048
356,0.072
357,0.117
358,0.167
359,0.195
360,0.212
361,0.222
362,0.228
363,0.227
364,0.217
